#MULTIPLE CHOICE QUESTION TYPE,,,
NewQuestion,MC,,
ID,3603-1,,
QuestionText,Which Python container is mutable and ordered?,,
Points,1,,
Difficulty,1,,
Option,100,List,Correct!
Option,0,Tuple,
Option,0,Set,
Option,0,Dictionary,
Hint,Mutable means it can be changed.,,

NewQuestion,MC,,
ID,3603-2,,
QuestionText,Which Python container is immutable and ordered?,,
Points,1,,
Difficulty,1,,
Option,100,Tuple,Correct!
Option,0,List,
Option,0,Set,
Option,0,Dictionary,
Hint,Tuples cannot be changed after creation.,,

NewQuestion,MC,,
ID,3603-3,,
QuestionText,Which Python container stores unique, unordered elements?,,
Points,1,,
Difficulty,1,,
Option,100,Set,Correct!
Option,0,List,
Option,0,Tuple,
Option,0,Dictionary,
Hint,Duplicates are automatically removed.,,

NewQuestion,MC,,
ID,3603-4,,
QuestionText,Which Python data type stores key–value pairs?,,
Points,1,,
Difficulty,1,,
Option,100,Dictionary,Correct!
Option,0,List,
Option,0,Set,
Option,0,Tuple,
Hint,Uses curly braces with colons between keys and values.,,

NewQuestion,MC,,
ID,3603-5,,
QuestionText,Which Pandas object is one-dimensional?,,
Points,1,,
Difficulty,1,,
Option,100,Series,Correct!
Option,0,DataFrame,
Option,0,Tuple,
Option,0,List,
Hint,Think of it like a labeled column.,,

NewQuestion,MC,,
ID,3603-6,,
QuestionText,Which Pandas structure is two-dimensional and tabular?,,
Points,1,,
Difficulty,1,,
Option,100,DataFrame,Correct!
Option,0,Series,
Option,0,Dictionary,
Option,0,Tuple,
Hint,Rows and columns both have labels.,,

NewQuestion,MC,,
ID,3603-7,,
QuestionText,Which function loads a CSV file into a DataFrame?,,
Points,1,,
Difficulty,1,,
Option,100,read_csv(),Correct!
Option,0,load_file(),
Option,0,to_csv(),
Option,0,open(),
Hint,Found in the Pandas library.,,

NewQuestion,MC,,
ID,3603-8,,
QuestionText,Which method displays the first 5 rows of a DataFrame?,,
Points,1,,
Difficulty,1,,
Option,100,.head(),Correct!
Option,0,.info(),
Option,0,.describe(),
Option,0,.top(),
Hint,Helpful for previewing small samples.,,

NewQuestion,MC,,
ID,3603-9,,
QuestionText,Which method prints a summary including dtypes and missing values?,,
Points,1,,
Difficulty,1,,
Option,100,.info(),Correct!
Option,0,.head(),
